Video ID,Create Time,Duration,Description,Author ID,Author Nickname,Author Unique ID,Digg Count,Follower Count,Following Count,Friend Count,Heart Count,Video Count,Collect Count,Comment Count,Digg Count,Play Count,Share Count,Video URL
7489369197269585157,2025-04-04 08:17:46,12,#အားလုံးချစ်ကြတဲ့ကိုရှိန်မင်း🤭😍 ,7248463048975909889,မချစ်သင့်သော💔,dawkyihtay23,4621,82900,8713,0,1100000,715,37,16,1027,11500,6,https://www.tiktok.com/@dawkyihtay23/video/7489369197269585157
7486300714604580114,2025-03-27 01:50:22,25,ချစ်လွန်းလို့ ဒီလောက်ထိသည်းခံနေတာ ရောင့်တတ်မလာနဲ့ #မချစ်သင့်သောredflag⛔️🚫💙  #အောင်ရဲလင်း #သိမ်မွေ့သံစဉ် #မချစ်သင့်သော ,6750062819226452994,Nan Aung Lay,nanaunglay,4376,414,1277,0,2775,92,10,10,127,4442,5,https://www.tiktok.com/@nanaunglay/video/7486300714604580114
7481779466788785426,2025-03-14 21:25:43,23,အ့လိုကပ်ချွဲချင်😁#မချစ်သင့်သော #😅 #ရို့ရို့🤭💜 #foryoupage❤️🦋🌈💫tiktok❣️ #ပါးဖောင်းဖောင်းနဲ့ကောင်မလေး #ဝတုတ်မလေး😅🙈 ,7448091822101103634,သွန်းဆက်မေမေ 🇸🇬🇲🇲,h.sd.s,12200,3871,1516,0,67900,754,43,10,1162,24800,23,https://www.tiktok.com/@h.sd.s/video/7481779466788785426
7479614142211558674,2025-03-09 01:23:04,16,ဒေါ်အေမီလှိုင်ထံမှာဒူးထောက်ခစားချင်နေပါပြီလို့😌💐#Lin🎀 #တီလင်း #linzarnizaw #ကံ့ကော်နှင့်သူ၏ဝတ်ဆံလေးများ💛🤍 #မချစ်သင့်သော ,7117641674109338651,Lin Zar Ni Zaw's fan✨,zarni.july.19,12200,111800,17,0,1000000,232,733,87,45500,1100000,48,https://www.tiktok.com/@zarni.july.19/video/7479614142211558674
7489368620246568197,2025-04-04 08:15:27,26,#နှစ်ယောက်လုံးပျော်ခဲ့ရတဲ့နေ့ရက်လေးတွေပေါ့❤️🤭🌹 ,7248463048975909889,မချစ်သင့်သော💔,dawkyihtay23,4621,82900,8713,0,1100000,715,22,7,550,8515,20,https://www.tiktok.com/@dawkyihtay23/video/7489368620246568197
7384664160862293256,2024-06-26 04:28:34,19,#မချစ်သင့်သော(Red Flag) #အောင်ရဲလင်း#ရဲရင့်သော်#သိမ်မွေ့သံစဉ်,6911594363156726790,Mupaing🌷,yinmoepaing5,552,165700,81,0,1800000,63,86,25,3345,87500,3,https://www.tiktok.com/@yinmoepaing5/video/7384664160862293256
7494589885261597970,2025-04-18 09:56:31,50,#မမြင်ရပ်ဘူးမင်းအပြစ်တွေလို့အဆင်ပြေရင်ကျေနပ်တဲ့ဘဝပါ💔😭,7248463048975909889,မချစ်သင့်သော💔,dawkyihtay23,4621,82900,8713,0,1100000,715,19,9,911,10000,12,https://www.tiktok.com/@dawkyihtay23/video/7494589885261597970
7447421000490175761,2024-12-16 09:30:00,51,ဒေါ်ထားဝေကတော့ သူ့သားမသိအောင် ဝီလျံ့ကို ခေါ်ထုတ်သွားခဲ့ပြီ #mentertainment #mchannel #myanmarseries #မလိုချင်သော #unwanted #psychol #mystery #supernatural #fyp #foryou #foryoupage,7242140115861177346,M Entertainment Channel,mentertainmentchannel,12,1500000,7,0,30000000,1089,2193,387,62000,991200,236,https://www.tiktok.com/@mentertainmentchannel/video/7447421000490175761
7448641429900905736,2024-12-15 14:13:02,165,#ဇာတ်သိမ်းပြီ။ မင်းသားမင်းသမီးကိုပဲကြည့်တော့နော်။ #mentertainment  #မလိုချင်သော #crdvideo,7110491761696850970,JKM,jaikhammeng,2824,304900,391,0,3500000,399,174,156,5258,211200,22,https://www.tiktok.com/@jaikhammeng/video/7448641429900905736
7488980034892369157,2025-04-03 07:07:36,59,#ပထမရည်းစားကသဘောထားကြီးကြီနဲ့စကာရက်ပြောခိုင်းတာတောင်တော်တော်လွန်လှပြီ#နော်ရွှေရုပ်😏😒,7248463048975909889,မချစ်သင့်သော💔,dawkyihtay23,4621,82900,8713,0,1100000,715,66,43,1488,34200,21,https://www.tiktok.com/@dawkyihtay23/video/7488980034892369157
7485238675672943880,2025-03-24 05:09:04,15,It’s just not in my DNA to love u only half way…..@Thein Mwave Than Sin #theinmwavethansin #မချစ်သင့်သော #redflag #အောင်ရဲလင်း #fyp ,7484587855110865927,Butterfly’s Thein Mwave,butterflys.thein,16,14300,2,0,230800,31,6,6,288,6857,7,https://www.tiktok.com/@butterflys.thein/video/7485238675672943880
7480151857915120914,2025-03-10 12:09:36,26,It’s hurts #fyp #fyppppppppppppppppppppppp #narrador #narradortiktok #valeriesilentstories #valerie #novel #stories #storytelling #storyteller #poetry #crdစာသား #hearttouching #juu ,7462248282796360722,valeries_silent_stories,valeries_silent_stories,183,9,57,0,92,11,7,0,18,593,8,https://www.tiktok.com/@valeries_silent_stories/video/7480151857915120914
7485341712559262994,2025-03-24 11:48:53,24,💔🫶🏻 #foryou #fyp #tiktok ,6762480220337112070,Kyawt Nandar🇯🇵🇲🇲,nandar22422,1614,4250,320,0,72400,131,9,2,167,3596,22,https://www.tiktok.com/@nandar22422/video/7485341712559262994
7298743742750657810,2023-11-07 15:33:27,300,#ဇာတ်လမ်းကောင်းလေးပါ #အားပေးကြပါအုံးဗျာ🇲🇲❤️❤️❤️❤️❤️ ,6900136053982659589,KoAung007,koaung00717,26500,115600,5286,0,3100000,843,504,133,8535,691000,71,https://www.tiktok.com/@koaung00717/video/7298743742750657810
7379278184996457735,2024-06-11 16:08:14,30,#Red Flag,6911594363156726790,Mupaing🌷,yinmoepaing5,552,165700,81,0,1800000,63,439,86,23000,402600,41,https://www.tiktok.com/@yinmoepaing5/video/7379278184996457735
7422556550444666119,2024-10-06 09:00:00,32,အဲ့မိန်းမကျွန်တော်နဲ့တွေ့မယ်..  #mahar #myanmarseries #aungyelin #tyron #moehayko,7416614721120814086,ပျိုးဥယျာဥ်,pyoeooyin,0,340500,0,0,7300000,317,2325,262,69000,1500000,146,https://www.tiktok.com/@pyoeooyin/video/7422556550444666119
7379859584116100360,2024-06-13 05:44:21,26,#Red flage series,7034429004058166278,Thit lay,thitthit184,3658,176100,1444,0,1900000,165,297,37,12400,242700,15,https://www.tiktok.com/@thitthit184/video/7379859584116100360
7491325214517939464,2025-04-09 14:47:55,85,မချစ်သင့်သော ❤️❤️ #မချစ်သင့်သောဇာတ်လမ်းတွဲ❤️❤️❤️❤️❤️ #ရွှေရုပ် #ရှိန်းမင်း #သိမ်မွေ့သံစဉ် #အောင်ရဲလင်း #ဇာတ်ကားကောင်းများ #မချစ်သင့်သော #မချစ်သင့်သောဇာတ်ကား #fyp #foryou #fypပေါ်ရောက်စမ်း,7484514900695303186,မချစ်သင့်သော ဇာတ်လမ်းတွဲ,theint2120,5,23900,3,0,151400,45,756,117,25700,318800,205,https://www.tiktok.com/@theint2120/video/7491325214517939464
7393015767010168072,2024-07-18 16:37:05,39,#မချစ်သင့်သော (Red Flag) #အောင်ရဲလင်း #ရဲရင့်သော်#သိမ်မွေ့သံစဉ်,6911594363156726790,Mupaing🌷,yinmoepaing5,552,165700,81,0,1800000,63,586,99,21500,512500,60,https://www.tiktok.com/@yinmoepaing5/video/7393015767010168072
7486552915453349143,2025-03-27 18:08:58,61,#မချစ်သင့်သော #အောင်ရဲလင်း #ရှိန်းမင်း #သိမ်မွေ့သံစဉ် #aungyelin #foryou #burmesetvseries #ကိုကြီးရဲ့ရွှေရုပ် #ရွှေရုပ်နဲ့ကိုကြီး #myanmar #showlike ,7304192912383607841,michico,michico6386,1079,76100,11,0,1200000,65,159,77,4024,80300,16,https://www.tiktok.com/@michico6386/video/7486552915453349143
7493263249127787794,2025-04-14 20:08:36,44,#မချစ်သင့်သော #foryou #fyppppppppppppppppppppppp #forpage #fyp #tiktokviews #thinkyoutiktokmyanmar #1mviews #ရောက်ချင်တဲ့နေရာရောက်👌 ,7338688254202889221,10M(Dex),an.dexlyrics1,129,98300,5,0,2300000,221,7966,699,173000,2000000,1335,https://www.tiktok.com/@an.dexlyrics1/video/7493263249127787794
7374053953736101138,2024-05-28 14:15:34,29,Thone Dray Aung ကို ပြင်ပေးထားပါတယ်#makeup #beauty #makeuphacks #makeupblogger #makeuptips #foryou #yelinhtike #foryoupage #trend ,6956191580081800194,💄Lin Maung(Khin San Win),linmaung926,204900,26700,4367,0,295400,923,394,84,13600,456400,40,https://www.tiktok.com/@linmaung926/video/7374053953736101138
7487044586876013879,2025-03-29 01:56:58,414,#မချစ်သင့်သော #မြန်မာဇာတ်လမ်းတွဲ #အောင်ရဲလင်း #သိမ်မွေ့သံစဉ် #ဘေးရန်ခပ်သိမ်းကင်းငြိမ်းကြပါစေ✨ #foryou #viral #fyp #myanmartiktok🇲🇲🇲🇲 ,7438521074478253064,Old but Gold 1996,oldbutgold303,231,272800,3,0,2900000,206,628,375,6823,186000,104,https://www.tiktok.com/@oldbutgold303/video/7487044586876013879
7482331063101000978,2025-03-16 09:06:04,26,"Nyein"" core #fyp #မချစ်သင့်သော #tiktok #myanmarseries #redflagseries #မချစ်သင့်သောredflag #myanmar #foryoupage #treshaoo #ထရက်ရှာဦး ",7425585470099129352,𝐌𝐖𝐌𝐁,mewith_mybiassss,6723,10300,45,0,309500,46,4066,368,125600,1100000,603,https://www.tiktok.com/@mewith_mybiassss/video/7482331063101000978
7495703269424024840,2025-04-21 09:57:02,103,#foryou #မချစ်သင့်သောရုပ်ရှင်ဇာတ်ကားကြီး #,7088589111455597595,💕May zin💕,may.zin1746,4093,61300,49,0,816700,381,6,5,207,4941,0,https://www.tiktok.com/@may.zin1746/video/7495703269424024840
7386764964301638917,2024-07-01 20:20:45,81,#မချစ်သင့်သော (Red Flag)ဇာတ်လမ်းတွဲ #အောင်ရဲလင်း #ရဲရင့်သော်#သိမ်မွေ့သံစဉ်,6911594363156726790,Mupaing🌷,yinmoepaing5,552,165700,81,0,1800000,63,96,30,3188,104100,7,https://www.tiktok.com/@yinmoepaing5/video/7386764964301638917
7484394111454219528,2025-03-21 22:31:46,136,#မချစ်သင့်သော #ဇတ်ကားကောင်းလေးများကြည့်ကြမရ် #foryou #fyp ,7469353451434460161,zawwinnaing035,zawwinnaing035,5205,26400,101,0,494700,93,1850,306,41900,779400,260,https://www.tiktok.com/@zawwinnaing035/video/7484394111454219528
7485638241593445640,2025-03-25 06:59:36,25,ကိုကြီးရေ...အောင်ရဲလင်းfanဖြစ်တော့မယ်🥲🥲#ကိုကြီး team #tiktokmyanmar🇲🇲 #မင်းတို့ပေးမှ❤ရမဲ့သူပါကွာ #ကိုကြီး #foryou #မချစ်သင့်သော ,6856777024477250562,AWAI ☪♡,waiiaw25,30800,33400,89,0,605300,169,21800,2888,460400,4600000,31300,https://www.tiktok.com/@waiiaw25/video/7485638241593445640
7485440142325370134,2025-03-24 18:10:51,47,#မချစ်သင့်သော #ရှိန်းမင်း #အောင်ရဲလင်း #သိမ်မွေ့သံစဉ် #aungyelin #foryou #burmesetvseries #ရွှေရုပ်နဲ့ကိုကြီး #ကိုကြီးရဲ့ရွှေရုပ် #redflag #myanmar ,7304192912383607841,michico,michico6386,1079,76100,11,0,1200000,65,2161,248,46700,569100,201,https://www.tiktok.com/@michico6386/video/7485440142325370134
7386764964301638917,2024-07-01 20:20:45,81,#မချစ်သင့်သော (Red Flag)ဇာတ်လမ်းတွဲ #အောင်ရဲလင်း #ရဲရင့်သော်#သိမ်မွေ့သံစဉ်,6911594363156726790,Mupaing🌷,yinmoepaing5,552,165700,81,0,1800000,63,96,30,3188,104200,7,https://www.tiktok.com/@yinmoepaing5/video/7386764964301638917
7374053953736101138,2024-05-28 14:15:34,29,Thone Dray Aung ကို ပြင်ပေးထားပါတယ်#makeup #beauty #makeuphacks #makeupblogger #makeuptips #foryou #yelinhtike #foryoupage #trend ,6956191580081800194,💄Lin Maung(Khin San Win),linmaung926,205000,26700,4368,0,295400,923,394,84,13600,456400,40,https://www.tiktok.com/@linmaung926/video/7374053953736101138
